Location,Date of sample collection,"CFU conting date, after 24 hr incubation",Sample name,Number of Yellow colony,Number of Green colony,Total colonies,Dilution Factor (Final volume/Initial volume),Volume of sample plated in mL,Total CFU/mL,variation,CFU/mL Yellow,CFU/mL Green,Remarks,*= Wet plates --> Spreading
Canal 2,7/14/22,7/15/22,50+50 µLA,63,20,83,2,0.1,1660,,1260,400,,
Canal 2,7/14/22,7/15/22,50+50 µLA,14,10,24,2,0.1,480,,280,200,,
Canal 2,7/14/22,7/15/22,50+50 µLA,9,6,15,2,0.1,300,,180,120,,
RD6,7/14/22,7/15/22,100µLA,15,20,35,1,0.1,350,g,150,200,,
RD6,7/14/22,7/15/22,100µLB,15,7,22,1,0.1,220,g,150,70,,
RD6,7/14/22,7/15/22,100µLC,19,18,37,1,0.1,370,g,190,180,,
RD6,7/14/22,7/15/22,50+50 µLA,6,8,14,2,0.1,280,,120,160,,
RD6,7/14/22,7/15/22,50+50 µLA,7,10,17,2,0.1,340,,140,200,,
RD6,7/14/22,7/15/22,50+50 µLA,14,6,20,2,0.1,400,,280,120,,
Milli Q,7/14/22,7/15/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/14/22,7/15/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/15/22,7/16/22,100µLA,41,8,49,1,0.1,490,g,410,80,*,
BO,7/15/22,7/16/22,100µLB,30,11,41,1,0.1,410,g,300,110,*,
BO,7/15/22,7/16/22,100µLC,45,3,48,1,0.1,480,g,450,30,,
BO,7/15/22,7/16/22,50+50 µLA,10,3,13,2,0.1,260,,200,60,*,
